index,timestamp,pics,Dice_coefficient
360,1644835607210,860,0.77
361,1644835607321,861,0.59
362,1644835607430,862,0.62
363,1644835607536,863,0.65
364,1644835607652,864,0.59
365,1644835607758,865,0.55
366,1644835607868,866,0.64
367,1644835607979,867,0.76
368,1644835608085,868,0.59
369,1644835608190,869,0.66
370,1644835608294,870,0.6
371,1644835608401,871,0.74
372,1644835608512,872,0.66
373,1644835608625,873,0.63
374,1644835608729,874,0.69
375,1644835608839,875,0.74
376,1644835608947,876,0.66
377,1644835609057,877,0.65
378,1644835609166,878,0.57
379,1644835609274,879,0.61
380,1644835609390,880,0.6
381,1644835609501,881,0.6
382,1644835609610,882,0.65
383,1644835609718,883,0.57
384,1644835609826,884,0.69
385,1644835609934,885,0.62
386,1644835610042,886,0.62
387,1644835610149,887,0.64
388,1644835610262,888,0.64
389,1644835610372,889,0.65
390,1644835610481,890,0.57
391,1644835610719,891,0.5
392,1644835610831,892,0.51
393,1644835610940,893,0.59
394,1644835611047,894,0.63
395,1644835611151,895,0.55
396,1644835611263,896,0.63
397,1644835611370,897,0.67
398,1644835611478,898,0.66
399,1644835611589,899,0.7
400,1644835611696,900,0.59
401,1644835611801,901,0.56
402,1644835611909,902,0.7
403,1644835612015,903,0.67
404,1644835612130,904,0.72
405,1644835612238,905,0.7
406,1644835612343,906,0.63
407,1644835612449,907,0.63
408,1644835612556,908,0.62
409,1644835612663,909,0.66
410,1644835612770,910,0.66
411,1644835612879,911,0.66
412,1644835612995,912,0.64
413,1644835613101,913,0.66
414,1644835613209,914,0.58
415,1644835613317,915,0.68
416,1644835613425,916,0.47
417,1644835613532,917,0.68
418,1644835613641,918,0.64
419,1644835613745,919,0.61
420,1644835613858,920,0.77
421,1644835613968,921,0.49
422,1644835614076,922,0.72
423,1644835614183,923,0.72
424,1644835614288,924,0.66
425,1644835614396,925,0.75
426,1644835614504,926,0.63
427,1644835614611,927,0.68
428,1644835614727,928,0.62
429,1644835614835,929,0.66
430,1644835614941,930,0.74
431,1644835615049,931,0.76
432,1644835615157,932,0.63
433,1644835615265,933,0.63
434,1644835615373,934,0.69
435,1644835615480,935,0.8
436,1644835615594,936,0.67
437,1644835615704,937,0.6
438,1644835615814,938,0.59
439,1644835615920,939,0.65
440,1644835616027,940,0.43
441,1644835616133,941,0.5
442,1644835616242,942,0.38
443,1644835616348,943,0.63
444,1644835616462,944,0.69
445,1644835616570,945,0.39
446,1644835616677,946,0.49
447,1644835616786,947,0.46
448,1644835616894,948,0.61
449,1644835617001,949,0.58
450,1644835617107,950,0.52
451,1644835617209,951,0.66
452,1644835617323,952,0.57
453,1644835617430,953,0.63
454,1644835617535,954,0.76
455,1644835617644,955,0.67
456,1644835617750,956,0.57
457,1644835617857,957,0.69
458,1644835617964,958,0.74
459,1644835618065,959,0.69
460,1644835618181,960,0.52
461,1644835618289,961,0.44
462,1644835618397,962,0.6
463,1644835618506,963,0.69
464,1644835618610,964,0.66
465,1644835618721,965,0.61
466,1644835618832,966,0.66
467,1644835618941,967,0.68
468,1644835619057,968,0.6
469,1644835619166,969,0.62
470,1644835619271,970,0.62
471,1644835619376,971,0.55
472,1644835619478,972,0.66
473,1644835619586,973,0.6
474,1644835619694,974,0.72
475,1644835619800,975,0.63
476,1644835619912,976,0.73
477,1644835620019,977,0.74
478,1644835620129,978,0.68
479,1644835620238,979,0.67
480,1644835620347,980,0.68
481,1644835620452,981,0.61
482,1644835620560,982,0.59
483,1644835620665,983,0.47
484,1644835620776,984,0.6
485,1644835620881,985,0.76
486,1644835620988,986,0.67
487,1644835621095,987,0.7
488,1644835621205,988,0.65
489,1644835621311,989,0.55
490,1644835621415,990,0.63
491,1644835621521,991,0.57
492,1644835621631,992,0.68
493,1644835621742,993,0.69
494,1644835621849,994,0.66
495,1644835621957,995,0.56
496,1644835622063,996,0.54
497,1644835622171,997,0.64
498,1644835622276,998,0.64
499,1644835622381,999,0.72
